mean_fit_time,"[0.01495075 0.00764971 0.00997825 0.01569681 0.00624981 0.0125762
 0.01248984 0.00937285 0.0081573 ]"
std_fit_time,"[0.00634047 0.00699312 0.00698509 0.00209674 0.00765442 0.00385012
 0.00624517 0.00765293 0.0070212 ]"
mean_score_time,"[0.00030799 0.0018013  0.         0.         0.00312443 0.
 0.00311613 0.         0.        ]"
std_score_time,"[0.00061598 0.0036026  0.         0.         0.00624886 0.
 0.00623226 0.         0.        ]"
param_criterion,"['entropy' 'entropy' 'entropy' 'entropy' 'entropy' 'entropy' 'entropy'
 'entropy' 'entropy']"
param_max_depth,[10 10 10 20 20 20 100 100 100]
param_min_samples_leaf,[1 4 8 1 4 8 1 4 8]
params,"[{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1}, {'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4}, {'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 8}, {'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1}, {'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 4}, {'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 8}, {'criterion': 'entropy', 'max_depth': 100, 'min_samples_leaf': 1}, {'criterion': 'entropy', 'max_depth': 100, 'min_samples_leaf': 4}, {'criterion': 'entropy', 'max_depth': 100, 'min_samples_leaf': 8}]"
split0_test_score,"[0.9390625 0.9234375 0.9125    0.9453125 0.9234375 0.9125    0.9453125
 0.9234375 0.9125   ]"
split1_test_score,"[0.93125   0.9234375 0.9203125 0.940625  0.9328125 0.9203125 0.940625
 0.9328125 0.9203125]"
split2_test_score,"[0.934375  0.9203125 0.91875   0.9390625 0.91875   0.91875   0.9390625
 0.91875   0.91875  ]"
split3_test_score,"[0.9359375 0.925     0.9125    0.9390625 0.925     0.9125    0.9390625
 0.925     0.9125   ]"
split4_test_score,"[0.9390625 0.9359375 0.9234375 0.9375    0.9359375 0.9234375 0.9375
 0.9359375 0.9234375]"
mean_test_score,"[0.9359375 0.925625  0.9175    0.9403125 0.9271875 0.9175    0.9403125
 0.9271875 0.9175   ]"
std_test_score,"[0.00296464 0.00537645 0.00435262 0.00268823 0.0062967  0.00435262
 0.00268823 0.0062967  0.00435262]"
rank_test_score,[3 6 7 1 4 7 1 4 7]
split0_train_score,"[0.99101562 0.97148437 0.9515625  1.         0.97226563 0.9515625
 1.         0.97226563 0.9515625 ]"
split1_train_score,"[0.99101562 0.96757812 0.95390625 1.         0.96953125 0.95390625
 1.         0.96953125 0.95390625]"
split2_train_score,"[0.98789063 0.96953125 0.95390625 1.         0.9734375  0.95390625
 1.         0.9734375  0.95390625]"
split3_train_score,"[0.99492187 0.97773438 0.95       1.         0.97851562 0.95
 1.         0.97851562 0.95      ]"
split4_train_score,"[0.99257812 0.97695312 0.95625    1.         0.97695312 0.95625
 1.         0.97695312 0.95625   ]"
mean_train_score,"[0.99148437 0.97265625 0.953125   1.         0.97414062 0.953125
 1.         0.97414062 0.953125  ]"
std_train_score,"[0.0022964  0.00402931 0.00215376 0.         0.00323441 0.00215376
 0.         0.00323441 0.00215376]"
