mean_fit_time,"[ 6.16238837 11.39969239  6.05378814  6.46463223 23.28392262 26.35410595
 13.92328262 18.53355069  2.51062722  3.5303401   1.89930868  1.88537588]"
std_fit_time,"[1.59627376 5.48741336 2.54576848 1.24588072 1.77227297 7.31452471
 0.75922213 8.25319932 0.36459895 1.7092944  0.13638422 0.23808564]"
mean_score_time,"[0.00726714 0.00540791 0.00378928 0.00297861 0.00579414 0.00598335
 0.00499692 0.00499687 0.00399313 0.0039825  0.00290527 0.00232749]"
std_score_time,"[0.00793763 0.00242451 0.00170883 0.00063189 0.00222564 0.00236384
 0.00062617 0.00178771 0.00167734 0.00208264 0.00049872 0.00044842]"
param_activation,"['relu' 'relu' 'relu' 'relu' 'logistic' 'logistic' 'logistic' 'logistic'
 'identity' 'identity' 'identity' 'identity']"
param_hidden_layer_sizes,"[(200,) (100,) (50,) (64, 32, 16) (200,) (100,) (50,) (64, 32, 16) (200,)
 (100,) (50,) (64, 32, 16)]"
params,"[{'activation': 'relu', 'hidden_layer_sizes': (200,)}, {'activation': 'relu', 'hidden_layer_sizes': (100,)}, {'activation': 'relu', 'hidden_layer_sizes': (50,)}, {'activation': 'relu', 'hidden_layer_sizes': (64, 32, 16)}, {'activation': 'logistic', 'hidden_layer_sizes': (200,)}, {'activation': 'logistic', 'hidden_layer_sizes': (100,)}, {'activation': 'logistic', 'hidden_layer_sizes': (50,)}, {'activation': 'logistic', 'hidden_layer_sizes': (64, 32, 16)}, {'activation': 'identity', 'hidden_layer_sizes': (200,)}, {'activation': 'identity', 'hidden_layer_sizes': (100,)}, {'activation': 'identity', 'hidden_layer_sizes': (50,)}, {'activation': 'identity', 'hidden_layer_sizes': (64, 32, 16)}]"
split0_test_score,"[ -9.51634827  -9.67505041  -9.41417975  -3.41589299  -7.09205871
  -7.84842745  -8.44539801 -15.96311382 -14.11774713 -14.09192591
 -14.0851186  -14.12888011]"
split1_test_score,"[ -9.07394589  -9.19639885  -9.33367666  -4.22829672  -7.15121027
  -7.54270944  -8.15988082  -4.67532464 -13.71259703 -13.71099929
 -13.66119253 -13.95273416]"
split2_test_score,"[ -9.9933708   -9.41847799 -10.42050027  -5.73706012  -8.19883965
  -8.78035322  -9.44190724 -16.12736648 -14.71708389 -14.77473826
 -14.6512072  -14.66899515]"
split3_test_score,"[-10.13589485 -10.19769896 -10.13549884  -5.44447901  -8.02960246
  -8.67357193  -9.24246507  -5.26043029 -14.57628908 -14.73518211
 -14.6256308  -14.57701507]"
split4_test_score,"[ -9.54681318  -8.96760159  -9.93402779  -5.31521708  -7.09381124
  -7.96870118  -8.24291157 -16.0333907  -14.39397466 -14.34893607
 -14.314038   -14.34212012]"
mean_test_score,"[ -9.6532746   -9.49104556  -9.84757666  -4.82818918  -7.51310447
  -8.16275264  -8.70651254 -11.61192519 -14.30353836 -14.33235633
 -14.26743743 -14.33394892]"
std_test_score,"[0.37796623 0.42409743 0.41726264 0.8714938  0.49417743 0.48234359
 0.53102982 5.42824694 0.35702146 0.4005338  0.36838197 0.26787378]"
rank_test_score,[ 6  5  7  1  2  3  4  8 10 11  9 12]
