mean_fit_time,"[ 2.78221941  2.75079994  4.04834089  6.22458739 10.83216562 10.03580194
  3.47397389  2.93328857  2.31342711]"
std_fit_time,"[1.35946434 0.76566095 1.10803065 1.21909081 2.15316643 1.10953867
 0.42181538 1.92445801 0.21979252]"
mean_score_time,"[0.00259867 0.00359287 0.00336695 0.00284505 0.0055809  0.00640297
 0.00713501 0.00461464 0.00262351]"
std_score_time,"[0.00049    0.00134337 0.00167762 0.00043353 0.00213957 0.0008071
 0.00043307 0.0028763  0.00046117]"
param_activation,"['relu' 'relu' 'relu' 'logistic' 'logistic' 'logistic' 'identity'
 'identity' 'identity']"
param_hidden_layer_sizes,"[(200,) (100,) (50,) (200,) (100,) (50,) (200,) (100,) (50,)]"
params,"[{'activation': 'relu', 'hidden_layer_sizes': (200,)}, {'activation': 'relu', 'hidden_layer_sizes': (100,)}, {'activation': 'relu', 'hidden_layer_sizes': (50,)}, {'activation': 'logistic', 'hidden_layer_sizes': (200,)}, {'activation': 'logistic', 'hidden_layer_sizes': (100,)}, {'activation': 'logistic', 'hidden_layer_sizes': (50,)}, {'activation': 'identity', 'hidden_layer_sizes': (200,)}, {'activation': 'identity', 'hidden_layer_sizes': (100,)}, {'activation': 'identity', 'hidden_layer_sizes': (50,)}]"
split0_test_score,"[-7.42945932 -7.93464324 -5.82833913 -4.54657254 -4.77004011 -6.20095728
 -9.18573945 -9.65806763 -7.38541064]"
split1_test_score,"[ -5.78887168  -7.42870644  -6.01687321  -5.29616981  -5.57875535
  -6.38591355 -10.53314278  -9.77010906  -9.68754843]"
split2_test_score,"[ -7.41791792  -7.30020507  -7.0875332   -5.34867741  -5.64522505
  -6.53342286  -8.7230523  -11.05827084  -9.53770505]"
split3_test_score,"[ -5.92649619  -7.11538955  -5.74299781  -4.77603545  -4.89626866
  -5.81696537  -9.57109237 -14.5051652   -8.59111933]"
split4_test_score,"[-5.48624327 -6.30473584 -6.87471887 -4.95466156 -5.42199691 -6.67589262
 -8.0979922  -8.23981978 -9.94858285]"
mean_test_score,"[ -6.40979768  -7.21673603  -6.31009244  -4.98442335  -5.26245722
  -6.32263033  -9.22220382 -10.6462865   -9.03007326]"
std_test_score,"[0.84001172 0.53090578 0.55908447 0.30525121 0.36016032 0.29790397
 0.81909924 2.12584202 0.94140525]"
rank_test_score,[5 6 3 1 2 4 8 9 7]
